window_ms,bins,channel_mode,selected_channels,feature_dim,shrinkage,prior,scaler,aggregation,train_character_correct,train_character_accuracy,train_pr_auc,train_roc_auc,train_balanced_accuracy,test_character_correct_reference,test_character_accuracy_reference,test_predictions_reference
0-500,8,top12,"Ch20,Ch17,Ch15,Ch14,Ch12,Ch13,Ch16,Ch10,Ch18,Ch19,Ch08,Ch11",96,0.03,balanced,standard,mean,11,0.9166666666666666,0.49731720129836937,0.8150763888888888,0.7458333333333333,5,0.625,2NF5CXGM
0-500,8,top12,"Ch20,Ch17,Ch15,Ch14,Ch12,Ch13,Ch16,Ch10,Ch18,Ch19,Ch08,Ch11",96,0.03,balanced,standard,trial_zscore_mean,11,0.9166666666666666,0.49731720129836937,0.8150763888888888,0.7458333333333333,5,0.625,2NF5CXGM
0-500,12,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",240,0.03,empirical,standard,mean,11,0.9166666666666666,0.4965707469276117,0.8061388888888888,0.6425,6,0.75,2BF5OXKM
0-500,12,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",240,0.03,empirical,standard,trial_zscore_mean,11,0.9166666666666666,0.4965707469276117,0.8061388888888888,0.6425,6,0.75,2BF5OXKM
0-500,12,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",240,0.03,empirical,standard,round_zscore_mean,11,0.9166666666666666,0.4965707469276117,0.8061388888888888,0.6425,6,0.75,2TF5OXKG
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.08,balanced,none,mean,11,0.9166666666666666,0.496461611888376,0.8,0.7324999999999999,5,0.625,2BL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.08,balanced,none,trial_zscore_mean,11,0.9166666666666666,0.496461611888376,0.8,0.7324999999999999,5,0.625,2BL5CXKM
0-500,8,top12,"Ch20,Ch17,Ch15,Ch14,Ch12,Ch13,Ch16,Ch10,Ch18,Ch19,Ch08,Ch11",96,0.03,balanced,none,mean,11,0.9166666666666666,0.49459302817232237,0.8127499999999999,0.7408333333333333,4,0.5,2NL5CXGM
0-500,8,top12,"Ch20,Ch17,Ch15,Ch14,Ch12,Ch13,Ch16,Ch10,Ch18,Ch19,Ch08,Ch11",96,0.03,balanced,none,trial_zscore_mean,11,0.9166666666666666,0.49459302817232237,0.8127499999999999,0.7408333333333333,4,0.5,2NL5CXGM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.08,balanced,standard,mean,11,0.9166666666666666,0.4941544117531076,0.7984027777777777,0.7208333333333333,5,0.625,2BL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.08,balanced,standard,trial_zscore_mean,11,0.9166666666666666,0.4941544117531076,0.7984027777777777,0.7208333333333333,5,0.625,2BL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.08,empirical,standard,mean,11,0.9166666666666666,0.4940622911460176,0.8045694444444444,0.6258333333333334,5,0.625,2NL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,0.08,empirical,standard,trial_zscore_mean,11,0.9166666666666666,0.4940622911460176,0.8045694444444444,0.6258333333333334,5,0.625,2NL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,auto,empirical,none,round_zscore_mean,11,0.9166666666666666,0.49287444068114045,0.8057638888888888,0.6308333333333334,6,0.75,2TL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,auto,empirical,standard,round_zscore_mean,11,0.9166666666666666,0.49287444068114045,0.8057638888888888,0.6308333333333334,6,0.75,2TL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,auto,empirical,none,mean,11,0.9166666666666666,0.49287444068114045,0.8057638888888888,0.6308333333333334,5,0.625,2NL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,auto,empirical,none,trial_zscore_mean,11,0.9166666666666666,0.49287444068114045,0.8057638888888888,0.6308333333333334,5,0.625,2NL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,auto,empirical,standard,mean,11,0.9166666666666666,0.49287444068114045,0.8057638888888888,0.6308333333333334,5,0.625,2NL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,auto,empirical,standard,trial_zscore_mean,11,0.9166666666666666,0.49287444068114045,0.8057638888888888,0.6308333333333334,5,0.625,2NL5CXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,empirical,none,mean,11,0.9166666666666666,0.4925483894390595,0.7971805555555556,0.6433333333333333,5,0.625,2NL5OXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,empirical,none,trial_zscore_mean,11,0.9166666666666666,0.4925483894390595,0.7971805555555556,0.6433333333333333,5,0.625,2NL5OXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,empirical,none,round_zscore_mean,11,0.9166666666666666,0.4925483894390595,0.7971805555555556,0.6433333333333333,5,0.625,2NL5OXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,empirical,standard,mean,11,0.9166666666666666,0.4925483894390595,0.7971805555555556,0.6433333333333333,5,0.625,2NL5OXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,empirical,standard,trial_zscore_mean,11,0.9166666666666666,0.4925483894390595,0.7971805555555556,0.6433333333333333,5,0.625,2NL5OXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,auto,empirical,standard,round_zscore_mean,11,0.9166666666666666,0.4925483894390595,0.7971805555555556,0.6433333333333333,5,0.625,2NL5OXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,auto,balanced,none,mean,11,0.9166666666666666,0.4911258420798823,0.7983611111111111,0.7191666666666666,5,0.625,2BL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,auto,balanced,none,trial_zscore_mean,11,0.9166666666666666,0.4911258420798823,0.7983611111111111,0.7191666666666666,5,0.625,2BL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,auto,balanced,standard,mean,11,0.9166666666666666,0.4911258420798823,0.7983611111111111,0.7191666666666666,5,0.625,2BL5CXKM
0-600,10,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",200,auto,balanced,standard,trial_zscore_mean,11,0.9166666666666666,0.4911258420798823,0.7983611111111111,0.7191666666666666,5,0.625,2BL5CXKM
0-500,12,top12,"Ch20,Ch17,Ch15,Ch12,Ch14,Ch16,Ch13,Ch10,Ch18,Ch19,Ch08,Ch11",144,0.03,balanced,none,trimmed_mean,11,0.9166666666666666,0.49112238029180605,0.8158472222222223,0.7591666666666667,6,0.75,2TF5OXKA
0-500,10,top12,"Ch20,Ch17,Ch15,Ch12,Ch14,Ch16,Ch13,Ch10,Ch18,Ch19,Ch08,Ch11",120,0.03,balanced,standard,trimmed_mean,11,0.9166666666666666,0.4906257470257095,0.8267777777777778,0.765,7,0.875,2TF5CXKM
0-500,10,top12,"Ch20,Ch17,Ch15,Ch12,Ch14,Ch16,Ch13,Ch10,Ch18,Ch19,Ch08,Ch11",120,0.03,balanced,standard,median,11,0.9166666666666666,0.4906257470257095,0.8267777777777778,0.765,5,0.625,2TF5CXGA
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.08,empirical,none,mean,11,0.9166666666666666,0.48796625028441687,0.7972777777777778,0.6425,5,0.625,2NL5OXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.08,empirical,none,trial_zscore_mean,11,0.9166666666666666,0.48796625028441687,0.7972777777777778,0.6425,5,0.625,2NL5OXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.08,empirical,none,round_zscore_mean,11,0.9166666666666666,0.48796625028441687,0.7972777777777778,0.6425,5,0.625,2NL5OXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.08,empirical,standard,mean,11,0.9166666666666666,0.48705575251562655,0.7786388888888888,0.6325,5,0.625,VTL5OXKM
0-500,8,all,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",160,0.08,empirical,standard,trial_zscore_mean,11,0.9166666666666666,0.48705575251562655,0.7786388888888888,0.6325,5,0.625,VTL5OXKM
